Region,Station,Date,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Latitude,Longitude
North,Admiralty,23/6/2020,16.8,4.4,6.6,9.8,26.4,29.3,23.4,8.6,34.3,1.4439,103.7854
North,Admiralty,24/6/2020,6.8,3.4,4.2,4.8,26.3,27.5,23.9,9.5,41.1,1.4439,103.7854
North,Admiralty,25/6/2020,0,0,0,0,28.3,32.3,25.3,9.1,25.6,1.4439,103.7854
North,Admiralty,26/6/2020,0,0,0,0,28.7,32.4,26.4,10,28.5,1.4439,103.7854
North,Admiralty,27/6/2020,3.8,3.8,3.8,3.8,28.9,31.9,26.3,10.9,37.8,1.4439,103.7854
North,Admiralty,28/6/2020,0.2,0.2,0.2,0.2,29.2,32.6,26.9,9.3,43.9,1.4439,103.7854
North,Admiralty,29/6/2020,0.4,0.2,0.4,0.4,29.4,32.4,27.6,8.7,36.3,1.4439,103.7854
North,Admiralty,30/6/2020,7.2,7.2,7.2,7.2,29.2,33.8,26.2,10.8,43.2,1.4439,103.7854
North,Admiralty,1/7/2020,2,0.8,1.4,1.8,25.9,29.6,23.3,18.7,54.7,1.4439,103.7854
North,Admiralty,2/7/2020,0,0,0,0,27.5,31.1,25.1,23.4,50,1.4439,103.7854
North,Admiralty,3/7/2020,5.2,2.8,3.4,3.6,27.8,33.7,25.9,16.2,57.2,1.4439,103.7854
North,Admiralty,4/7/2020,30,14.8,17.2,24.8,27.4,31.8,23.1,NA,33.2,1.4439,103.7854
North,Admiralty,5/7/2020,0,0,0,0,29.8,35,27.6,10.3,35,1.4439,103.7854
North,Admiralty,6/7/2020,0,0,0,0,29.3,33.9,26,10.6,24.4,1.4439,103.7854
North,Admiralty,7/7/2020,9,8.8,8.8,8.8,27,32,25,9.5,30.6,1.4439,103.7854
North,Admiralty,8/7/2020,0,0,0,0,29.9,33.6,27.3,9.6,29.1,1.4439,103.7854
North,Admiralty,9/7/2020,0,0,0,0,27.9,32.8,23.9,12.9,42.4,1.4439,103.7854
North,Admiralty,10/7/2020,9.6,4.8,7,8.4,27.6,31.1,24.3,10.4,51.9,1.4439,103.7854
North,Admiralty,11/7/2020,47,29.6,33.2,34,25.4,28.2,23.4,13.1,40,1.4439,103.7854
North,Admiralty,12/7/2020,0,0,0,0,28.2,32,25.6,20.3,51.9,1.4439,103.7854
North,Admiralty,13/7/2020,23,15.6,18.2,20.2,25.5,28.2,23.6,11.1,39.3,1.4439,103.7854
North,Admiralty,14/7/2020,0.2,0.2,0.2,0.2,27,29.9,25,10.2,32,1.4439,103.7854
